step,order1990,order2000,order2010,order2011,order2012,order2013,order2014,order2015,order2016,order2017
202,south-carolina,california,virginia,virginia,virginia,washington,virginia,wisconsin,west-virginia,california
203,california,arizona,washington,iowa,washington,kentucky,new-york,california,wisconsin,wisconsin
204,georgia,texas,texas,washington,iowa,florida,kentucky,new-york,california,kentucky
205,illinois,new-jersey,illinois,california,florida,iowa,california,texas,kentucky,iowa
206,michigan,california,california,florida,california,california,iowa,kentucky,new-york,west-virginia
207,minnesota,indiana,florida,illinois,illinois,texas,texas,iowa,iowa,new-york
208,california,florida,ohio,ohio,mississippi,illinois,massachusetts,arizona,arizona,arizona
209,new-york,minnesota,mississippi,mississippi,pennsylvania,massachusetts,california,massachusetts,florida,florida
210,texas,kansas,pennsylvania,pennsylvania,ohio,mississippi,illinois,california,california,utah
211,arkansas,georgia,massachusetts,massachusetts,massachusetts,ohio,arizona,florida,massachusetts,texas
212,florida,virginia,arkansas,arkansas,texas,pennsylvania,ohio,illinois,utah,california
213,virginia,arkansas,minnesota,california,california,california,mississippi,minnesota,texas,colorado
214,colorado,new-york,indiana,minnesota,arkansas,minnesota,pennsylvania,ohio,colorado,massachusetts
215,pennsylvania,ohio,california,texas,minnesota,arizona,minnesota,texas,minnesota,minnesota
216,connecticut,illinois,new-york,indiana,arizona,arkansas,arkansas,pennsylvania,ohio,georgia
217,louisiana,washington,new-jersey,new-york,indiana,indiana,florida,mississippi,illinois,ohio
218,ohio,north-carolina,texas,new-jersey,new-york,new-york,indiana,utah,arkansas,arkansas
219,california,california,arizona,arizona,new-jersey,new-jersey,utah,colorado,pennsylvania,tennessee
220,missouri,texas,kansas,kansas,kansas,florida,new-york,arkansas,mississippi,nevada
221,massachusetts,pennsylvania,michigan,tennessee,tennessee,tennessee,texas,indiana,georgia,pennsylvania
222,new-york,michigan,tennessee,michigan,florida,utah,new-jersey,tennessee,tennessee,illinois
223,texas,california,california,california,california,kansas,colorado,georgia,indiana,mississippi
224,california,tennessee,georgia,florida,georgia,california,tennessee,new-york,california,indiana
225,illinois,florida,florida,georgia,utah,texas,california,california,new-york,california
226,new-jersey,new-york,utah,utah,michigan,colorado,georgia,new-jersey,nevada,idaho
227,oklahoma,missouri,colorado,colorado,colorado,georgia,kansas,kansas,new-jersey,north-carolina
228,alabama,texas,north-carolina,texas,texas,michigan,north-carolina,north-carolina,north-carolina,texas
229,florida,california,texas,north-carolina,north-carolina,north-carolina,michigan,nevada,idaho,new-york
230,wisconsin,louisiana,illinois,california,california,california,nevada,michigan,texas,new-jersey
231,tennessee,oklahoma,california,illinois,idaho,idaho,california,texas,kansas,florida
232,washington,alabama,idaho,idaho,oregon,nevada,idaho,idaho,florida,oregon
233,california,illinois,oregon,new-york,nevada,oregon,texas,california,oregon,kansas
234,north-carolina,new-jersey,new-york,oregon,new-york,texas,oregon,oregon,california,california
235,michigan,ohio,pennsylvania,nevada,illinois,new-york,florida,florida,michigan,michigan
236,pennsylvania,oregon,nevada,pennsylvania,pennsylvania,illinois,new-york,new-york,texas,texas
237,new-york,pennsylvania,ohio,ohio,texas,florida,california,california,california,california
238,maryland,connecticut,missouri,missouri,florida,pennsylvania,illinois,oklahoma,new-york,washington
239,texas,california,oklahoma,oklahoma,california,california,oklahoma,texas,oklahoma,oklahoma
240,maine,massachusetts,california,california,oklahoma,oklahoma,pennsylvania,illinois,virginia,new-york
241,ohio,wisconsin,florida,florida,ohio,virginia,virginia,virginia,washington,florida
242,georgia,new-york,texas,texas,missouri,missouri,missouri,pennsylvania,illinois,virginia
243,california,texas,virginia,virginia,virginia,ohio,ohio,missouri,florida,south-carolina
244,indiana,florida,alabama,alabama,alabama,maryland,texas,ohio,pennsylvania,missouri
245,nevada,maryland,maryland,maryland,maryland,texas,california,washington,missouri,pennsylvania
246,illinois,georgia,california,california,california,california,maryland,california,south-carolina,illinois
247,california,colorado,new-york,new-york,texas,alabama,washington,florida,ohio,california
248,new-york,california,michigan,washington,washington,washington,alabama,maryland,california,ohio
249,florida,north-carolina,washington,texas,new-york,new-york,south-carolina,south-carolina,maryland,texas
250,texas,michigan,wisconsin,south-carolina,south-carolina,south-carolina,florida,alabama,texas,maryland
251,virginia,virginia,south-carolina,new-jersey,new-jersey,florida,new-york,texas,georgia,georgia
252,kentucky,indiana,new-jersey,wisconsin,florida,georgia,georgia,georgia,alabama,alabama
253,oregon,arizona,connecticut,michigan,georgia,california,california,new-york,california,california
254,pennsylvania,california,texas,connecticut,wisconsin,new-jersey,texas,california,new-york,north-carolina
255,arizona,texas,illinois,georgia,michigan,wisconsin,new-jersey,north-carolina,north-carolina,arizona
256,california,new-york,georgia,florida,california,michigan,wisconsin,new-jersey,arizona,florida
257,new-jersey,illinois,california,california,connecticut,connecticut,north-carolina,wisconsin,florida,new-york
258,michigan,idaho,florida,illinois,illinois,texas,michigan,arizona,new-jersey,texas
259,ohio,florida,pennsylvania,louisiana,louisiana,north-carolina,massachusetts,massachusetts,wisconsin,new-jersey
260,massachusetts,utah,louisiana,massachusetts,north-carolina,massachusetts,louisiana,michigan,texas,massachusetts
261,iowa,pennsylvania,massachusetts,pennsylvania,massachusetts,louisiana,connecticut,louisiana,massachusetts,wisconsin
262,new-york,washington,north-carolina,north-carolina,texas,illinois,arizona,california,california,california
263,minnesota,ohio,ohio,texas,pennsylvania,pennsylvania,california,florida,louisiana,michigan
264,california,kentucky,indiana,indiana,california,california,illinois,connecticut,michigan,louisiana
