step,order2010,order2011,order2012,order2013,order2014,order2015,order2016,order2017
242,texas,california,missouri,missouri,missouri,pennsylvania,florida,virginia
243,virginia,virginia,virginia,ohio,ohio,missouri,illinois,south-carolina
244,alabama,alabama,alabama,maryland,texas,ohio,missouri,missouri
245,maryland,maryland,maryland,texas,maryland,washington,pennsylvania,pennsylvania
246,california,california,california,alabama,california,california,south-carolina,illinois
247,new-york,new-york,texas,california,washington,florida,ohio,california
248,michigan,washington,washington,washington,alabama,south-carolina,california,texas
249,washington,texas,new-york,south-carolina,south-carolina,maryland,maryland,ohio
250,wisconsin,south-carolina,south-carolina,new-york,florida,alabama,texas,maryland
251,south-carolina,new-jersey,florida,florida,new-york,texas,alabama,georgia
252,new-jersey,michigan,georgia,georgia,georgia,georgia,georgia,alabama
253,connecticut,wisconsin,new-jersey,california,california,new-york,california,north-carolina
254,texas,connecticut,wisconsin,new-jersey,texas,california,new-york,arizona
255,illinois,georgia,michigan,wisconsin,new-jersey,north-carolina,north-carolina,california
256,georgia,florida,california,michigan,wisconsin,new-jersey,arizona,florida
257,california,california,connecticut,texas,north-carolina,wisconsin,florida,new-york
258,florida,illinois,illinois,connecticut,michigan,arizona,new-jersey,texas
259,pennsylvania,louisiana,louisiana,north-carolina,massachusetts,massachusetts,texas,new-jersey
260,louisiana,pennsylvania,north-carolina,louisiana,louisiana,louisiana,wisconsin,massachusetts
261,massachusetts,massachusetts,massachusetts,massachusetts,connecticut,michigan,massachusetts,wisconsin
262,north-carolina,north-carolina,texas,illinois,arizona,florida,louisiana,california
263,ohio,texas,pennsylvania,pennsylvania,california,california,california,michigan
264,indiana,indiana,california,california,illinois,texas,michigan,louisiana
265,new-york,ohio,arizona,arizona,pennsylvania,connecticut,connecticut,tennessee
266,california,california,indiana,indiana,florida,illinois,tennessee,connecticut
267,texas,new-york,new-york,new-york,texas,pennsylvania,illinois,texas
268,arizona,arizona,ohio,florida,indiana,indiana,indiana,indiana
269,tennessee,tennessee,tennessee,ohio,new-york,tennessee,pennsylvania,california
270,kentucky,florida,florida,tennessee,tennessee,new-york,california,florida
271,minnesota,california,california,texas,ohio,california,new-york,pennsylvania
272,california,kentucky,hawaii,hawaii,california,hawaii,texas,illinois
273,florida,hawaii,texas,california,hawaii,ohio,hawaii,colorado
274,hawaii,minnesota,minnesota,minnesota,minnesota,minnesota,ohio,new-york
275,texas,texas,kentucky,kentucky,kentucky,texas,florida,minnesota
276,illinois,virginia,virginia,virginia,texas,colorado,colorado,ohio
277,new-york,california,california,california,virginia,florida,minnesota,hawaii
278,virginia,illinois,new-york,texas,california,kentucky,california,california
279,california,new-york,illinois,new-york,colorado,california,virginia,virginia
280,michigan,pennsylvania,texas,colorado,florida,virginia,kentucky,kentucky
281,pennsylvania,michigan,colorado,florida,new-york,georgia,georgia,georgia
282,maine,maine,pennsylvania,illinois,georgia,new-york,texas,texas
283,new-hampshire,georgia,georgia,georgia,california,texas,washington,washington
284,new-jersey,texas,florida,pennsylvania,illinois,california,california,north-carolina
285,missouri,colorado,michigan,california,north-carolina,north-carolina,north-carolina,florida
286,georgia,florida,maine,michigan,pennsylvania,washington,new-york,california
287,ohio,new-hampshire,california,maine,texas,illinois,florida,new-york
